NDS;DESCRICAO DO SERVICO;Postes;Trafos;Cabos;Outros
494018;FAZER EMENDA DE CONDUTOR FIO ACO 3.09,  [PS=565537828 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=565537828,EMENDAR CONDUTOR(ES=2  ;0;0;0;0
494024;TRAZER DOIS POSTE  UM B2000 COMPLETO ESTRUTURA N4DN3, TRAZER UM B600 ESTRUTURA N3DN3CF  ( CHAVE 15962,  TRAZE 4 ISOLADOR BASTAO DA PORCELANA,  SEIS CRUZETA , CABO 20 CAA E CABO 4CAA E EMENDA;0;0;0;0
494025;FAVOR GERAR NDS PARA EMENDA DE CONDUTOR 3X2,25 NO PS 790381569 ATE O PS 771995527 ARVORE CAIU SOBRE A REDE. VAO LONGO POREM DE BOM ACESSO, FICOU ABERTA A CHAVE 06584.,  [PS=790381569 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=790381569,EMENDAR CONDUTOR(ES=1  ;0;0;0;0
494026;AUXILIO CA601 - TRAZER DOIS POSTE  UM B2000 COMPLETO ESTRUTURA N4DN3, TRAZER UM B600 ESTRUTURA N3DN3CF  ( CHAVE 15962,  TRAZE 4 ISOLADOR BASTAO DA PORCELANA,  SEIS CRUZETA , CABO 20 CAA E CABO 4CAA E EMENDA;0;0;0;0
494029;FAVOR GERAL NDS PARA EQUIPE DA AGENCIA , OU LINHA VIDA PARA REFAZER JANPER NO PS 1119739631 , LOCAL DE FACIL ACESO , NINGUEM DESLIGADO,  [PS=111973963 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=1119739631,REFAZER JUMPER=1  ;0;0;0;0
494030;SERVICO     : EQUIPE      : CA115VEIC. ALOC. : E3B89DATA        : 26/09/25 00:44 POR ADMSODREGIAO      : TDO 01 - TOLEDOTIPO        : MENSAGEM LIVREMENSAGEM    : FAVOR JERER UMA NDC PARA REFASER  O TERAMENTO DO TR 36874  FICOU ABERTO O TR CLIENTE SEM EMERGIA (SERVICO DE EMERGENCIA);0;0;0;0
494031;GERADO NDS PARA TROCAR TR 44712 COM BUCHA SEGUNDARIA QUEIMADA INTERNA FAZE C LOCAL DE FACIL ACESSO TR FICOU COM CF ABERTO TRAZER 3 PARA RAIOS PARA PADRONIZAR,  [PS=774499461 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=774499461,TRANSFORMADO QUEIMADO=1  [PS=774499461,1-TRANSF. TRIF. 33   KV     30KVA  ];0;0;0;0
494039;FAVOR GERAR NDS PARA RETIRAR TORRE DE INTERNET QUE CAIU SOBRE EXPRESSO FLOR DA SERRA  NO PS 1118803641 NECESSARIO DE CAMINHAO MUNK NO LOCAL ACESSO BOM CHAVES ABERTAS 19411 E 20661,  [PS=111880364 V4X4=SIM  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=SIM  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=SIM]  PS=1118803641,RETIRAR OBJETOS ESTRANHOS NA RD=1  ;0;0;0;0
494041;FAVOR GERAR NDS PARA LINHA VIVA TROCAR CHAVE 8601 MESMA DERRETEU  FEITO UM AJUSTE  FASE A   CHAVE FUSIVEL DA 34  COLOCAR LAMINAS  CHAVE ATENDE RA6448   NAO FICOU NIGUEM DESLIGADO  MAIS PRESIZA SER FEITO COM URGENCIA ASSESO PELA LAVOURA PARA CAMINHAO,  [PS=776221729 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=776221729,PODAR ARVORE=1  [PS=776221729,1-CHAVE FUSIVEL C -  POLIMERICA 27KV 300A  ];0;0;0;0
494044;GERA NDS PARA SUBISTITUIR PS 775428346 PS 775428278 TRASER DOIS POSTES B 300  UM TR DE 75KVA  TRASER EMENDAS PARA COMDUTORWS  CABO 2 0  AWG,  [PS=775428278 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=SIM]  PS=775428278,POSTE AVARIADO/ABALROADO (SUBSTITUIR=2  ;0;0;0;0
494046;TRAZER DOIS POSTE  UM B2000 COMPLETO ESTRUTURA N4DN3, TRAZER UM B600 ESTRUTURA N3DN3CF  ( CHAVE 15962,  TRAZE 4 ISOLADOR BASTAO DA PORCELANA,  SEIS CRUZETA , CABO 20 CAA E CABO 4CAA E EMENDA;0;0;0;0
494053;NDS 493950 COMPLEMENTAR*****TROCA POSTE E TR NO PS 889989664 ROMPEU CABO LEVANDO A QUEBRAR POSTE LOCAL DE DIFICIL ACESSO, REDE VEM DE PALMITAL COMUNICAR COD PARA VER COMO ESTA PRO OUTRO LADO PARA FAZER SERVICO COM SEGURANCA TRAZER UNS 4 METROS DE RAMAL 16 MM;0;0;0;0
