NDS;DESCRICAO DO SERVICO
492594;REFAZER JUMPER DE DUAS FASSES E COLOCAR GLV, CABO 4 AWG QUASE ROMPENDO, REFAZER ESTAIO E INSTALAR UM PARARRAIO 34KV,  [PS=784489296 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=784489296,REPARAR CONDUTOR (TENTOS ROMPENDO=2 PS=784489296,REFAZER ESTAI=1 PS=784489296,REFAZER JUMPER=2  [PS=784489296,6-CABO COBRE XLPE 0,6/1KV 16 MM2  ]
492597;REFAZER JAMPER DO TR PRA REDE TR  I0127 E REFAZER BT NUA CABO 2 BARRA 0  1 VAO PERTO DO CRUZAMENTO E PADRONIZAR 3 CHAVES UNIPULAR  COM LINHA VIVA,  [PS=621149948  V4X4=NAO  CESTO=SIM  CHVAB=NAO  JUMPAB=NAO  LV=SIM  CONSDESLIG=SIM  RISCOACID=NAO  AVARIANAREDE=NAO  TODAREDEINSP=SIM  FONTESUB=NAO]  PS=621149948,REFAZER JUMPER=1 PS=621149948,EMENDAR CONDUTOR(ES=1 PS=621149948,SUBSTITUIR CHAVE UNIPOLAR=3  
492598;REFAZER JAMPER DO TR PRA REDE TR  I0127 E REFAZER BT NUA CABO 2 BARRA 0  1 VAO PERTO DO CRUZAMENTO E PADRONIZAR 3 CHAVES UNIPULAR  COM LINHA VIVA,  [PS=621149948 V4X4=NAO  CESTO=SIM  LV=SIM  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=NAO   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=621149948,REFAZER JUMPER=1 PS=621149948,EMENDAR CONDUTOR(ES=1 PS=621149948,SUBSTITUIR CHAVE UNIPOLAR=3  
492599;PONTO QUENTE NA GLV DA CHAVE 02974-URUBU DERRETIDO VERIFICAR TODAS CONEXOES TROCAR CHAVES FASE A E C POR TIPO CF LAMINADA-FOTOS GRUPO NDS
492600;FAVOR GERAR NDS PARA PODA DE ARVORES PS 849246396 PS 796375069 PS 881213006 PS 881213006  PONTOS CRITICO PLANO 500   FASER DESLIGAMENTO   MANDAR NUMERO DA NDS OBRIGADO
492602;RRFAZER ESTAI NO PS 615027241 ONDE UM TRATOR ROMLEU O Q ESTAVA E ACABARAM CORTANDO PELA METADO A CORDOALHA QUE ESTAVA NO LOCAL POIS COM ISTO O POSTE ESTA PENDIDO MATERIAL A SER UZASO AMCORA PARA ESTAIPEDRA PARA ESTAI E A CORODOALHA PARA FAZER ESTAI TUDO NOVO NO LOCAL TRICHO FICOU TUDO ENERJIZADO,  [PS=615027241 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=SIM  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=SIM]  PS=615027241,APRUMAR POSTE=1  [PS=615027241,1-CORDOALHA DE FIOS DE ACO HS 9,5MM  ]
492603;FAVOR GERAR NDS PARA INTERCALAR POSTE ENTRE O PS 616134772 AO PS 616134577, CABO ESTA A 4.40 DO SOLO, BOM ACESSO AO LOCAL. TAMBEEM FAZER PODA DE ARVORES ENTRE O PS 616134695 AO PS 616134925, GRANDE QUANTIDADE DE GALHOS E ARVORES PROXIMOS AOS CABOS, MARCAS DE QUEIMADO NOS MESMOS. TAMBEM PARA TROCA DAS CF 02479 E CF 02414, A MESMAS ESTAO NO PALIATIVO E ESTAO FORUXAS, TORTAS, MUITO PROXIMAS... BOM ACESSO A TODOS OS LOCAIS, ALIMENTADOR FRANCA,  [PS=616134577 V4X4=SIM  CESTO=SIM  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=616134577,APRUMAR POSTE=1 PS=616134663,PODAR ARVORE=50 PS=938799199,SUBSTITUIR CHAVE UNIPOLAR=1  
492605;GERAR NDS PRA MANUTENSAO DE LINHA VIVA FAZER PODA DE ARVORE NO PS 778969149 BOM ACESSO NA BEIRA DA RUA   
492606;GALHOS DE PINHEIRO CAUSOU QUEBRA DE PS N4 ,,,E,  PS DE PASSAGEM  FACIL ACESSO, NECESSARIO ABRI CHAVE 09736,,,,,,  [PS=627324306 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=627324306,POSTE AVARIADO/ABALROADO (SUBSTITUIR=2  
492607;GERADO NDS PARA REFAZER ESTAI COMPLETO NO PS 95144214.RUIM DE ACESSO.,  [PS=951447214 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=NAO   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=951447214,REFAZER ESTAI=1  [PS=951447214,1-CORDOALHA ACO CARBONO 6,4 MM  ]
492608;NESCESARIO DESLIGAR CR 8324022486 FAZER ROCADA GALHOS POR CIMA DA REDE,  [PS=796650843  V4X4=NAO  CESTO=NAO  CHVAB=NAO  JUMPAB=NAO  LV=NAO  CONSDESLIG=NAO  RISCOACID=NAO  AVARIANAREDE=NAO  TODAREDEINSP=SIM  FONTESUB=NAO]  PS=796651336,FAZER ROCADA=50 PS=796650843,CORTAR ARVORE COM MOTOSSERRA=50  
492609;GERAR PRA LINHA VIVA FAZER TROCA DA CR OU REGULAGEM DA CR 8177605145 CR SO COM UM PORTA FUSIVEL POR FASES DISTACIA SO PRA LINHA VIVA  AS CHAPINHA DA ENTRANDA DA CR TODAS DESREGUGADAS SO COM UM PORTA FUSIVEL POR FASE (SERVICO DE EMERGENCIA)
492610;FAVOR GERAR NDS PRA INTERCALAR POSTE ENTRE OS PS 808641909 ATE O PS 808641911 VAO MUITO LONGO APROXIMADAMENTE 200 METROS MEDINDO 4,80 DE ALTURA  NAO PASSA MAQUINAS AGRICOLA LOCAL E LAVOURA MAS O CLINTE DEIXA ENTRAR COM O CAMINHAO ATE O LOCAL,  [PS=808641909 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=NAO   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=808641909,POSTE IRREGULAR (SUBSTITUIR/REALOCAR=1  [PS=808641909,1-POSTE DUPLO T B/300/12,0M  ]
492611;PASSAR PARA MANUTENCAO SUBSTITUIR O TR 46676 QUE ESTA QUEIMADO LOCAL RUIM DE ACESSO NESCESSARIO ABRIR CHAVE 20998 POIS NAO APRESENTA DISTANCIA SEGURA,  [PS=774094300 V4X4=SIM  CESTO=SIM  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=NAO   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=774094300,TRANSFORMADO QUEIMADO=1  [PS=774094300,1-TRANSF. MONO  10KVA OVI  ]
492612;LINHA VIVA JUMPER NO POSTE 8628824797 PENDURADO PARA FAZER SEQUENCIA DE FASE E CONECTAR CORRETAMENTE
492613;DERRUBADAS DE ARVORES DE GRANDE PORTE, BOM ACESSO BEIRA DE ESTRADA, ARVORES ESTAO PENDIDA PRO LADO DA REDE, VIM O QUANTO ANTES, CLIENTE FALOU QUE DA VENTO E PEGA NO CABO E DA BASTANTE FOGO NA REDE. PS 627265711 TR 8628847958.,  [PS=627265711 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=NAO   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=627265711,CORTAR ARVORE COM MOTOSSERRA=20  
492614;NDS PARA LINHA  VIVA REFAZER OS 6  JUMPER NA  SU 20754  ALIMENTADOR  TIA JOANA  QUENTE DOS DOIS LADOS ACESSO BOM  NO LOCAL
492616;FEITO TESTE A VAZIO NO TR T 1721NAO ACEITO O MESMO ESTA QUEIMADO LIVRE ACESSO  PRA CAMINHAO,  [PS=617227258 V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=NAO   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=617227258,TRANSFORMADO QUEIMADO=1  [PS=617227258,1-TRANSF. TRIF.13.2KV 112.5KVA AMB.AGRES.  ]
492617;SUBSTITUIR TR H0353 QUEIMADO
492618;FAVOR GERAR NDS PARA SUBSTITUIR POSTE AVARIADO NO PS 945903618 PROGRAMAR NO MEIO DA LAVOURA RECEM PLANTADO NIMGUEM SEM LUZ DERIVACAO ESTA DESATIVADA,  [PS=945903618 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=945903618,POSTE AVARIADO/ABALROADO (SUBSTITUIR=1  [PS=945903618,1-POSTE DUPLO T B/600/12.0 M  ]
492619;SENTRAL FAVOR GERAR NDS PRA MANOTENCAO FASER A TROCA DO PS 943886091 QUE ESTA QUEBRADO REFASER ESTAIO DO MESMO E ESTAIO DO PS 943886094, CF 458 ABERTA E SINALIZADA [PS=943886091 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=943886091,POSTE AVARIADO/ABALROADO (SUBSTITUIR=1  [PS=943886091,1-POSTE DUPLO T B/300/12,0M  PS=943886091,2-ISOL PILAR PORCELANA 15 KV  ]
492620;NDS PARA TROCAR CHAVES E PARARAIO DO TR L0057 ACESSO BOM PODE SER FEITO COM LINHA VIVA,  [PS=771623882 V4X4=SIM  CESTO=SIM  LV=SIM  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=771623882,SUBSTITUIR PARARRAIO(S=3 PS=771623882,SUBSTITUIR CHAVE UNIPOLAR=3  [PS=771623882,3-CHAVE FUSIVEL C - POLIMERICA 15KV 300A  PS=771623882,3-PARA-RAIO  15 KV POLIMERICO  ]
492621;LINHA VIVA JUMPER NO POSTE 8628824797 PENDURADO PARA FAZER SEQUENCIA DE FASE E CONECTAR CORRETAMENTE
492624;FAVOR GERAR NDS PARA SUBSTITUIT PS 604544598 QUEBRADO QUANTO ANTES ESTA SOBRE A RUA NIMGUEM DESLIGADO TRAZER UM B300 CRUZETA E IZOLADORES ESTAO BOMS,  [PS=604544598 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=SIM  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=604544598,POSTE AVARIADO/ABALROADO (SUBSTITUIR=1  [PS=604544598,1-POSTE DUPLO T B/300/12,0M  ]
492626;FAVOR  GERA NDS PARA MANUTENCAO TROCA POSTE QUEBRADO 888503339 TRAZER 1POSTE B300 DE 12 METROS  FICO ABWRTO JUMPER NO PS 888500423  LUGAR  DE BOUM ACESSO  FICO  FECHADO A  CR92474 AS 17:10  TRAZER  1 PS B300 DE 12 METROS 1 IZOLADOR  PILAR DA 34 KVA,  [PS=888503339 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=SIM  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=888503339,POSTE AVARIADO/ABALROADO (SUBSTITUIR=1 PS=888503339,EMENDAR CONDUTOR(ES=1  [PS=888503339,1-POSTE DUPLO T B/300/12,0M  PS=888503339,1-CABO  AL NU CAA  4 AWG - COM ALMA  PS=888503339,1-ISOL PILAR PORCELANA 35 KV  ]
492627;CENTRAL CHAVE 59466  FICO ABERTA CABO DE ACO ROMPIDO  NOS PS DO TRG8965   CABO 32X25   TRAZER INMENDA  ASECO APE,  [PS=600069758 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=NAO   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=600069758,REFAZER ENGASTAMENTO DO POSTE=1  
492629;GERAR NDS PARA TROCA DE PS DE 300DAM COM 12 METROS  PS615024547 FICOU TRICHO IZOLADO POR 2 SU ABERTAS SU 12268 E SU 57294
492630;NDS PARA REFASER CONEXAO DA SAIDA DA CGAVE FASE B CHAVE DE SAIDA DO RA GRA63 ACESSO BOM PODE SER FEITK COM LV,  [PS=626918181 V4X4=SIM  CESTO=SIM  LV=SIM  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=SIM]  PS=626918181,REFAZER JUMPER=1  [PS=626918181,1-CHAVE FUSIVEL C -  POLIMERICA 27KV 300A  ]
492631;FAVOR GERAR NDS PARA TROCAR POSTE QUEBRADO LOCAL FACIL ACESSO POSSSUI LEITARIA NO LOCAL,  [PS=876523839 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=876523839,CORTAR ARVORE COM MOTOSSERRA=3 PS=876523839,POSTE AVARIADO/ABALROADO (SUBSTITUIR=1  [PS=876523839,1-POSTE DUPLO T B/300/12,0M  ]
492633;****3 UCS DESLIGA NA TRONCO DO ALIMENTADOR*****TROCAR PS POIS O QUE ESTAVA NO LOCAL QUEBROU DEVIDO TER DADO UM VENTO FORTE, TRECHO FICOU ISOLADO PELAS SU 12268 E SU 57924 TRAZER  POSTE B300 DE 12 METROS NO LOCAL O PS ESTA NA  BEIRA DA ESTRADA MAS POREM TERA QUE ENTRAR NA LAVOURA PARA PODER SUBISTITUI-LO DEVIDO A TER UM BARRANCO COM MAIS DE 2 METROS DE ALTURA NO LOCAL  PS 615024547 ESTE E PONTO QUE ESTA QUEBRADO,  [PS=615024547 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=SIM]  PS=615024547,POSTE AVARIADO/ABALROADO (SUBSTITUIR=1  [PS=615024547,1-POSTE DUPLO T B/300/12,0M  ]*
492636;SUBSTITUIR PS 939798113 E PS POSTE 939798128, E APRUMAR OS DEMAIS PS A FRENTE,  9 POSTES, APRUMAR 7, TROCAR 2, SUBST 6 CRUZETAS E 8 ISOLADIRES, PILAR DA 34. DIFICIL ACESSO PARA CAMINHAO, MUITO BARRO , POSTES ESTAO PARA CAIR, TRECHO ISOLADO, ABERTA A CH 9362 E CH 9374, OS POSTES AVARIAS ENTRE O PS POSTE 939798110 E O POSTE 939798131, PS POSTE 939798158 ABARLOADO, APRUMAR  V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   PS=939798113 PS=939798113,POSTE AVARIADO/ABALROADO (SUBSTITUIR=9 PS=939798113,SUBSTITUIR CRUZETA(S=6 PS=939798113,SUBSTITUIR ISOLADORES=8  [PS=939798113,2-POSTE DUPLO T B/300/12,0M  PS=939798113,99-CABO  AL NU CAA 2/0 AWG - COM ALMA  PS=939798113,8-CRUZETA POSTE CONCRETO L=2000MM  PS=939798113,8-ISOL PILAR PORCELANA 35 KV  ]
492637;FAVOR GERAR NDS PRA FAZER EMENDA DE CABO 2.0  NO PS 616100313 AO PS 616100314 LOCAL DE LAVOURA BEIRA DA ESTRADA EM FRENTE UNS AVIARIO VINDO DE ASSIS CINTIDO TERRA NOVA  AS DIREITA O RA CUT36 ESTA ABERTO ENTRADA E SAIDA E TRAVADO MECANICAMENTE E TAMBEM ESTA ABERTO A SU 01840  LOCAL DE BOM ACESSO,  [PS=616100314 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=616100314,EMENDAR CONDUTOR(ES=1  [PS=616100314,1-CABO  AL NU CAA 2/0 AWG - COM ALMA  ]
492640;LOCAL DIFICIL ACESSO ,PRECISA FAZER RODADA GRANDE ARVORES DE GRANDE PORTE A SER CORTADAS , NAO FOI POSSIVEL VER SE TEVE POSTE QUEBRADO OU ISOLADORES QUEBRADO OU CRUSETA PREVENIR TRAZER CRUZERA E ISOLADOR  , TOMAR CUIDADO FOI LOCALIZADO CAIXAS DE ABELHAS PROXIMO AO LOCAL . PS CABO ROMPIDO 949778102 ATE PS 949778108 .,  [PS=949778108 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=SIM  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=949778102,REPARAR CONDUTOR (TENTOS ROMPENDO=2 PS=949778102,CORTAR ARVORE COM MOTOSSERRA=10 PS=949778102,POSTE AVARIADO/ABALROADO (SUBSTITUIR=01 PS=949778102,TRANSFORMADOR AVARIADO=01  [PS=949778108,2-CABO AL NU 2 AWG  ]
492641;FAVOR GERAR NDS PARA EMENDA DE CONDUTOR DE AT LOCAL DIFICIL ACESSO A NOITE , FOI ABERTO JUMPER NO PS DO DEFEITO PS 793768341 ATE O TR L1749 FICOU DESLIGADO ESSE TREXO, CHAVE 01540 FICOU FECHADA,  [PS=793768341 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=SIM  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=793768341,PODAR ARVORE=4 PS=793768341,EMENDAR CONDUTOR(ES=1  [PS=793768341,20-CABO  AL NU CAA  4 AWG - COM ALMA  ]
492642;CENTRAL FAVOR GERAR NDS PARA TRPCA DO TR S0742 NAO FOI FEITO TESTE A VAZIO CASAMENTO NO LOCAL E ESTAO NA FASE QUE FICOU LIGADA (SERVICO DE EMERGENCIA)SE POSIBEL A MANUTENCAL FAZER O TESTE A VAZIO ANTES DA TROCA (SERVICO DE EMERGENCIA)   
492643;CENTRAL FAVOR GERAR NDS PARA TRPCA DO TR S0742 NAO FOI FEITO TESTE A VAZIO CASAMENTO NO LOCAL E ESTAO NA FASE QUE FICOU LIGADA (SERVICO DE EMERGENCIA)SE POSIBEL A MANUTENCAL FAZER O TESTE A VAZIO ANTES DA TROCA (SERVICO DE EMERGENCIA)
492645;FAVOR GERAR NDS PARA TROCAR CRUZETAS REPOR CABOS NOS ISOLADORES E VERIFICAR SE A NESSECIDADE DE TROCA DOS PS 1106031697 EO PS 1106031673 TROCIDOS DEVIDO CABOS FORA 1106031736 1106031750 1106031765 1106031810 1106031797 1106031831 1106031678,  [PS=110603169 V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=1106031697,POSTE AVARIADO/ABALROADO (SUBSTITUIR=2 PS=1106031697,SUBSTITUIR CRUZETA(S=5 PS=1106031697,RETENSIONAR CONDUTOR=3  [PS=1106031697,2-POSTE DUPLO T B/600/12.0 M  PS=1106031697,5-CRUZETA POSTE CONCRETO L=2000MM  ]
492646;FAZER EMENDA DE UM CONDUTOR NO PS 575152784 LOCAL DE FACIL ACESSO CHEVES ABERTA NA REDE 09366 09365 09367 E 12058 AGENCIA FAZ,  [PS=575152784 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=NAO   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=575152784,EMENDAR CONDUTOR(ES=01  
492647;GERAR NDS PRA MANUTENSAO FAZER EMENDA DE CABO E TROCAR POSTE QUEBRADO NO PS 951528200 DIFICIO A CESSO FICOU ABERTO A TRIP 8324007482 E ENMULETA O POSTE DO PS 549798276,  [PS=951528200 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=951528200,POSTE AVARIADO/ABALROADO (SUBSTITUIR=1 PS=951528200,EMENDAR CONDUTOR(ES=2  [PS=951528200,1-POSTE,FIBRA VIDRO F/600/12,0M CIRC/QUAD  PS=951528200,1-TRANSF. MONO. 13.2KV-254V 25 KVA  PS=951528200,3-CRUZETA POSTE CONCRETO L=2000MM  PS=951528200,15-CABO  AL NU CAA  4 AWG - COM ALMA  PS=951528200,3-ISOL BASTAO PORCELANA 15 KV  ]
492649;CABO ROMPIDO NO CRUZAMENTO AEREO PROXIMO DA CF 864 - OBS: TRECHO AINDA NAO ISOLADO, ESTA EM MANOBRAS
492650;REFAZER JUMPER DA CHAVE DO TR
